no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_80,292.2212938,0.795487114,25.46622575,1024.301055,155316.4,2.397016095,26.58748441,39.10960913,-11.06597766,27.92028236,56.86677933,12.97953796,11
element_81,598.5113244,0.657786507,23.91449654,1092.860341,60990.4,2.49755392,26.82461786,36.87339781,-13.07964423,25.37180901,59.90009308,13.9159193,11
element_82,346.6016752,0.481212161,24.99922077,960.4694747,76462.8,2.565938683,26.41069985,38.07864702,-11.06023258,32.9980278,55.08924484,12.21255589,11
element_83,523.3726051,0.642805391,24.22067109,1126.369511,59454.3,2.534630059,28.98734563,36.96914472,-11.68803664,25.92939377,60.32282257,13.42953205,11
element_84,611.9988411,0.659222453,23.55743966,1015.282875,10319.6,2.238585006,26.25262062,37.2708171,-10.75211069,32.52644348,52.41640091,14.68776703,11
element_85,715.7325875,0.747725122,22.90837929,1184.03924,27344.3,2.289805987,26.22683118,35.94452871,-11.22397386,29.69147682,54.8404541,14.89608097,10
element_86,948.8198024,1.180497172,22.05456758,1242.846142,9288.5,2.260316724,31.11277075,35.68664341,-12.57515331,29.80638695,52.62986755,17.35208893,10
element_87,830.3235756,1.056291911,22.09432529,1262.046377,7525.5,2.39545564,31.40480235,35.30427982,-12.14460609,33.11805725,48.46496201,18.12056923,10
element_88,1036.115318,1.443819087,22.00239959,1212.303419,6210.4,1.902382248,26.35324944,35.26948454,-11.0379906,32.49955368,49.06383896,16.70798874,8
element_89,319.9361995,0.588457094,25.13821646,1036.445042,56638.4,2.418935295,24.78282087,39.43168725,-12.45262078,25.60540199,59.26631927,12.17140579,11
element_90,530.1235501,0.776085216,24.3694322,1049.930862,61392.7,2.649411138,24.49466817,37.89534156,-14.30364528,21.48345566,65.28787231,11.97387886,11
element_91,204.4271077,0.454646834,25.31655972,1011.214071,37650.8,2.582398452,23.33535368,39.91286179,-14.88234398,19.8049469,65.38744354,10.38214684,11
element_92,272.8864551,0.532064976,25.28858322,1085.494415,10247.8,2.599157492,24.89875297,39.10490253,-15.56589031,19.71546745,69.89185333,9.740729332,11
element_93,47.85413687,0.323838187,25.93700761,1059.724926,3171.1,2.908476336,21.75764397,39.35652826,-16.46811353,19.4788456,57.50336456,9.071463585,11
element_94,404.0650687,0.660909568,24.82569342,1208.41034,14851.8,2.463081226,24.91625938,38.3572672,-15.68251651,21.13328362,68.53647614,9.577361107,11
element_95,188.7913038,0.408363655,25.11283811,1267.063502,28848.2,2.909455797,26.29738317,37.94567145,-16.58832956,21.19987869,65.92243958,9.677950859,11
element_96,478.0636487,1.030028528,24.22516392,1418.256281,23076.1,2.37377527,29.05850478,36.73159596,-16.18658043,21.51716805,67.2906189,10.04934978,10
element_97,54.08234879,0.199762065,25.57331437,1258.044764,3904.2,3.942809587,26.69055385,36.95138401,-17.46100215,24.11150169,59.84800339,11.76569366,11
element_98,172.3934839,0.372912194,24.88272672,1224.737773,19105.4,3.365412244,26.93469954,36.16506154,-17.36718991,23.84960747,62.9122963,11.64693928,11
element_99,3.45841363,0.018550657,25.63082993,1284.287413,409.9,5.566151454,18.7045102,36.8559146,-18.06985352,19.90972137,31.14583397,10.02097893,11
element_100,4.68983209,0.013890167,25.58210348,1075.20755,4421.4,5.985876688,22.34475292,36.38276057,-18.29553204,45.00063705,24.17111969,22.29771042,11
element_101,149.3388858,0.410944836,25.09358734,1007.184822,1378121.1,3.019687612,25.73636829,34.92697746,-18.03771829,26.35669899,55.19094086,16.87330818,11
element_102,533.4135725,1.320238418,23.89702963,1006.658296,161058.3,2.541767348,26.27059312,35.06662783,-15.55541097,31.62221527,40.58486938,20.25236702,11
element_103,300.5136303,0.60885797,25.30866711,809.1516958,1205882.3,2.48796398,24.65865502,34.27019007,-17.03586838,27.30784607,49.71708679,21.03882027,11
element_104,230.0784321,0.644418222,26.55938711,673.4838014,1124955.1,1.860337092,24.44127831,33.79703345,-16.24599764,31.2053566,44.3147316,23.41843987,11
element_105,922.887678,1.074306213,22.45256962,780.1629222,54757.5,1.825166559,25.03252097,32.2612361,-17.18691335,22.50505638,62.31692123,15.25836182,8
