no,ELE,SLP,TMP,PPT,AREA,LON,LAT,Cluster
CA_0002328,2057.07,5.31,-0.47,674.51,899,-115.0319366,51.04167175,4
CA_0002334,1723.31,1.56,1.07,568.27,332.5,-114.8384094,51.28281021,9
CA_0002342,1884.56,4.13,0.74,645.26,7770,-114.2252808,51.09944153,9
CA_0002378,2022.8,2.73,0.5,668.64,165.5,-114.588707,50.28525925,9
CA_0002380,1539.59,1.77,2.08,566.76,3952.199951,-113.8208466,50.78324127,9
CA_0002399,1044.387271,0.268577938,5.290384696,398.3145299,36.135,-113.3443604,50.51377106,1
CA_0002413,1382.39,1.97,2.74,496.77,25278,-111.5909195,50.04727936,9
CA_0002426,2046.89,3.77,-0.15,663.47,2245.699951,-115.019249,51.64625168,9
CA_0002429,1183.41,0.62,2.88,494.24,2578.300049,-114.1402893,52.0282402,1
CA_0002431,1108.87,0.52,2.62,537.24,644.5999756,-114.477478,52.08927917,1
CA_0002433,1587.61,2.05,1.43,582.43,5593.600098,-114.2185822,52.05834961,9
CA_0002437,988.54,0.37,3.07,535.02,1915.900024,-114.3441696,52.319561,1
CA_0002497,789.3328612,0.212932085,4.246493896,335.2396969,2449.869,-111.8287582,50.82091141,1
CA_0002513,2184.02,7.22,-1.12,931.24,1923.199951,-116.470932,52.00119019,6
CA_0002520,1738.96,2.92,0.65,635.47,2252.800049,-114.8558197,52.2521019,9
CA_0002527,1794.73,2.24,0.18,644.19,1853.599976,-115.4221802,52.36859131,9
CA_0002530,2150.3,6.16,-1.11,871.68,3890,-116.3225021,52.31000137,6
CA_0002532,1102.12,0.62,2.36,593.7,1346.5,-115.0757828,52.66381836,1
CA_0002540,1250.53,1.16,2.1,587.15,875.7000122,-115.5202637,52.81996918,9
CA_0002591,685.3039959,0.088819538,2.86493656,404.779105,1590.598,-112.0398026,53.49118042,1
CA_0002623,780.251072,0.210220617,3.189194186,482.3627106,282.4657,-113.279953,52.95915985,1
CA_0002635,791.21757,0.421624643,3.227564118,408.6717949,60.8033,-111.7301025,52.25918961,1
CA_0002754,897.26,0.38,4.14,383.28,3730,-107.6586075,50.49388885,1
CA_0002902,564.39,0.18,0.39,488.89,629,-104.6196365,53.86497116,1
CA_0002906,434.1,0.3,0.94,459.94,12600,-102.1037827,53.61368942,1
CA_0003004,383.03,0.05,3.08,509.83,225,-99.21439362,49.90092087,1
CA_0003017,365.37,0.22,1.73,498.3,82300,-98.32978058,52.00194931,1
CA_0003036,579.2082395,0.165038512,1.972222211,423.4940171,182.2174,-104.7892532,52.40552902,1
CA_0003141,600.5830656,0.055834519,3.667361192,411.1717949,80.2044,-103.6295776,49.49483109,1
CA_0003142,598.5657519,0.108257383,3.94829066,424.6905128,221.9866,-103.6736069,49.43693924,1
CA_0003143,601.6011249,0.049506549,4.279700836,397.0003205,117.9903,-103.6140289,49.35263824,1
CA_0003144,591.0817894,0.092968673,3.680551654,421.0805133,6663.632,-103.083107,49.14339066,1
CA_0003146,586.7222348,0.043886728,4.265659357,396.1531136,115.2174,-103.3013077,49.1740799,1
CA_0003157,668.55,0.25,2.98,438.18,4710,-102.1719437,49.52278137,1
CA_0003158,597.663298,0.084659139,3.308012932,444.9967521,176.7413,-102.2557526,49.34700012,1
CA_0003188,645.35,0.19,2.94,461.45,3900,-101.3977814,49.8417511,1
CA_0003207,486.04,0.19,3.26,528.12,7500,-98.27203369,49.03052902,1
CA_0003276,448.7704664,0.690940559,3.395085619,574.2403846,33.3906,-98.34559631,49.36539078,1
CA_0003306,258.857804,0.068705427,2.891880329,635.341514,146.007,-96.740448,49.90002823,1
CA_0003307,258.857804,0.068705427,2.891880329,635.341514,146.007,-96.74044037,49.90002823,1
CA_0003315,456.37,0.17,2.09,781.09,5880,-92.28472137,48.74443817,1
CA_0003318,449.34,0.19,2.29,767.08,358.019989,-91.58408356,48.75196838,1
CA_0003332,414.13,0.48,2.6,724.44,7.25,-93.72611237,49.64778137,1
CA_0003363,390.74,0.2,2.52,700.6,135000,-95.9972229,50.39805984,1
CA_0003364,389.5,0.2,2.52,700.6,136000,-96.17749786,50.56750107,1
CA_0003365,340.79,0.17,2.42,648.16,888,-95.50666809,50.03491974,1
CA_0003391,408.55,0.23,2.59,781.3,2337.27002,-92.87082672,49.82917023,1
CA_0003405,392.06,0.29,1.86,680.77,548,-93.97019196,50.67699814,1
CA_0003408,327.11,0.12,1.64,610.84,9090,-96.60453033,51.70341873,1
CA_0003413,295.76,0.08,0.62,581.68,6840,-96.7527771,52.77777863,1
CA_0003428,301.39,0.15,-1.37,496.96,5810,-99.22088623,55.49662018,1
CA_0003431,237.77,0.13,-1.93,506.59,886,-98.19207764,55.48984909,1
CA_0003432,254.94,0.18,-2.72,520.14,6110,-97.35762024,55.99525833,1
CA_0003433,259.95,0.15,-2.34,516.66,391,-98.49192047,55.90850067,1
CA_0003434,250.02,0.06,-0.07,527.72,4610,-97.77500153,53.82221985,1
CA_0003443,164.66,0.09,-3.43,511.53,1090,-94.69664764,56.34156036,1
CA_0003444,516.2685191,0.331385714,2.661146659,515.2417227,875207.5,-94.63388824,56.38027954,1
CA_0003445,515.7290204,0.331063152,2.661146659,515.2417227,876151.1,-94.36943817,56.39749908,1
CA_0003447,122.01,0.06,-3.72,486.51,1560,-93.64111328,56.67694092,1
CA_0003448,151.7,0.16,-4.38,474.31,2190,-93.45305634,57.02305984,1
CA_0003479,478.43,0.2,1.19,469.3,2960,-107.7440567,54.93069077,1
CA_0003480,591.84,0.32,0.82,461.35,2330,-109.3968124,55.71443939,1
CA_0003483,534.21,0.33,1.21,454.45,1020,-108.0536118,54.91833115,1
CA_0003484,487.42,0.22,1.12,451.05,4730,-108.0188293,55.39683151,1
CA_0003485,504.06,0.23,-0.66,467.82,5940,-107.5916672,56.09167099,1
CA_0003486,533.49,0.25,-0.87,487.05,3680,-106.5633621,56.24522018,1
CA_0003488,556.73,0.29,0.7,496.06,5450,-105.6966705,54.71389008,1
CA_0003493,520.82,0.24,0.7,463,119000,-104.7360001,55.64768982,1
CA_0003495,512.66,0.27,-0.84,505.23,4540,-105.7555618,55.82500076,1
CA_0003497,512.59,0.2,-1.78,489.52,7730,-104.1853638,57.5841713,1
CA_0003501,445.85,0.23,-1.73,528.23,10200,-103.7095032,57.08932877,1
CA_0003503,410.92,0.2,-3.03,481.11,63300,-103.1595001,56.19332886,1
CA_0003507,376.38,0.21,-2.1,525.88,961,-102.5097198,56.11193848,1
CA_0003510,475.5156791,0.240913331,-0.671016814,458.5177407,210744.4,-102.8299713,55.57527924,1
CA_0003512,457.34,0.24,-0.84,460.54,244000,-100.0360184,56.46821976,1
CA_0003514,285.6131415,0.236316497,-2.353046224,505.6646111,5929.282,-99.04425049,56.67350006,1
CA_0003518,236.8,0.16,-4.84,488.45,4270,-95.66385651,57.65327835,1
CA_0003519,235.86,0.16,-3.72,510.08,5810,-95.73925018,56.95291901,1
CA_0003521,164.38,0.16,-5.28,479,1890,-94.19805908,58.01353073,1
CA_0003522,345.56,0.18,-4.3,474.67,13000,-98.2277832,58.14305878,1
CA_0003523,322.52,0.23,-5.69,439.51,18500,-98.28888702,58.84444046,1
CA_0003525,333.12,0.2,-7.17,395.6,27000,-98.77693939,60.78652954,1
CA_0003530,311.58,0.24,-9.17,287.02,65600,-101.3623276,64.53038788,1
CA_0003573,1363.511397,1.432413685,1.901905057,597.1539995,5153.386,-116.9633789,54.01327133,9
CA_0003574,1788.661011,3.113622615,1.591666735,658.8562678,91.3594,-118.2411575,53.67866135,9
CA_0003576,1914.8,5.45,0.13,799.65,9764.799805,-117.5694199,53.4242897,9
CA_0003600,1604.333826,2.446177077,1.696652431,573.7305556,386.1136,-117.3565903,53.25188828,9
CA_0003644,696.1169283,0.388988131,1.303632494,451.0116484,439.2408,-116.1027374,55.60820007,1
CA_0003713,1454.11,4.14,-1.34,633.76,15600,-125.1498871,57.07514191,9
CA_0003714,1564.56,4.77,-1.31,672.68,1690,-124.9011078,57.1911087,9
CA_0003716,1490.51,4.62,-0.93,674.54,2190,-123.9360275,56.52410889,9
CA_0003718,1296.76,4.04,-0.16,607.15,5560,-124.5675812,55.91685867,9
CA_0003719,1392.32,4.54,-0.75,605.06,3060,-124.5821915,56.21350098,9
CA_0003720,1395.72,4.16,-0.52,608.67,1950,-124.801918,56.12694168,9
CA_0003722,1141.28,2.18,1,591.18,6790,-123.6333618,55.42721939,9
CA_0003727,1144.35,3.69,2.44,830.61,4930,-122.913063,55.0819397,9
CA_0003728,969.31,1.41,3.12,790.44,310,-122.6122208,54.52972031,1
CA_0003735,1232.11,3.49,0.7,629.83,87200,-120.8144989,56.19932938,9
CA_0003736,1351.81,3.45,0.43,663.65,2140,-122.3545303,56.45986176,9
CA_0003737,1137.44,2.24,0.86,616.81,9340,-121.6285324,56.2507515,9
CA_0003739,1145.33,3.23,1.99,737.08,12100,-121.2115631,55.71844101,9
CA_0003740,1210.02,3.14,1.79,720.61,5550,-121.2034988,55.55247116,9
CA_0003741,1202.27,3.65,1.86,812.7,2590,-121.6275635,55.54217148,9
CA_0003742,1085.37,3.06,2.08,648.46,82.40000153,-121.5968094,55.53778076,9
CA_0003744,1303.3,4.06,1.76,796.34,2370,-121.0137787,55.06135941,9
CA_0003746,988.56,2.82,2.11,602.64,1520,-121.3667831,56.09249878,9
CA_0003750,802.35,0.51,1.01,508.94,15600,-120.6998596,56.27843857,1
CA_0003752,826.95,0.65,1.49,514.44,1770,-121.2223282,56.67763901,1
CA_0003762,790.63,0.74,1.73,482.52,2860,-120.0304184,55.8651886,1
CA_0003773,627.6559937,0.0603235,1.755982857,418.2820513,6.7792,-117.5999985,56.16667175,1
CA_0003782,1421.424122,2.64158042,1.928572202,652.295177,3380.687,-118.554039,54.42152023,9
CA_0003784,898.653129,1.259168296,2.342735058,559.3949084,486.2423,-119.3901825,54.84238052,1
CA_0003788,1014.84,0.98,2.05,560.39,1248.599976,-119.7015762,55.07881927,1
CA_0003802,1139.882247,0.995235463,2.550598384,590.737851,607.3204,-117.7213135,54.43046188,1
CA_0003816,667.34,0.29,1.33,426.88,1968.099976,-117.1298904,56.05564117,1
